date,origin_group,dep_airport,arr_airport,destination,airline,airline_code,dep_time,arr_time,duration,stops,price_value,price_text,scraped_at,source
2026-01-31,BKKA,DMK,TDX,TDX,Thai AirAsia,FD,15:40,16:55,1ชม.15นาที,Direct,2518,"฿2,518",2026-01-27T14:27:37.453171,airpaz.com
2026-01-31,BKKA,DMK,TDX,TDX,Thai AirAsia,FD,07:35,08:55,1ชม.20นาที,Direct,3582,"฿3,582",2026-01-27T14:27:37.494849,airpaz.com
2026-01-26,BKKA,BKK,TDX,TDX,Bangkok Airways,PG,08:10,09:10,1ชม.0นาที,Direct,4867,"฿4,867",2026-01-27T15:00:16.370929,airpaz.com
2026-01-26,BKKA,BKK,TDX,TDX,Bangkok Airways,PG,16:15,17:15,1ชม.0นาที,Direct,4930,"฿4,930",2026-01-27T15:00:16.431795,airpaz.com
2026-01-28,BKKA,BKK,TDX,TDX,Bangkok Airways,PG,08:10,09:10,1ชม.0นาที,Direct,4867,"฿4,867",2026-01-27T15:00:47.527462,airpaz.com
2026-01-28,BKKA,BKK,TDX,TDX,Bangkok Airways,PG,16:15,17:15,1ชม.0นาที,Direct,4930,"฿4,930",2026-01-27T15:00:47.571082,airpaz.com
2026-01-29,BKKA,BKK,TDX,TDX,Bangkok Airways,PG,16:15,17:15,1ชม.0นาที,Direct,4530,"฿4,530",2026-01-27T15:01:15.722570,airpaz.com
2026-01-29,BKKA,BKK,TDX,TDX,Bangkok Airways,PG,12:45,13:45,1ชม.0นาที,Direct,4848,"฿4,848",2026-01-27T15:01:15.764803,airpaz.com
2026-01-29,BKKA,BKK,TDX,TDX,Bangkok Airways,PG,08:10,09:10,1ชม.0นาที,Direct,4867,"฿4,867",2026-01-27T15:01:15.807462,airpaz.com
2026-01-30,BKKA,BKK,TDX,TDX,Bangkok Airways,PG,16:15,17:15,1ชม.0นาที,Direct,4130,"฿4,130",2026-01-27T15:01:44.607189,airpaz.com
2026-01-30,BKKA,BKK,TDX,TDX,Bangkok Airways,PG,12:45,13:45,1ชม.0นาที,Direct,4848,"฿4,848",2026-01-27T15:01:44.649502,airpaz.com
2026-01-30,BKKA,BKK,TDX,TDX,Bangkok Airways,PG,08:10,09:10,1ชม.0นาที,Direct,4867,"฿4,867",2026-01-27T15:01:44.692088,airpaz.com
2026-01-31,BKKA,BKK,TDX,TDX,Bangkok Airways,PG,16:15,17:15,1ชม.0นาที,Direct,4530,"฿4,530",2026-01-27T15:02:13.191015,airpaz.com
2026-02-01,BKKA,BKK,TDX,TDX,Bangkok Airways,PG,08:10,09:10,1ชม.0นาที,Direct,4867,"฿4,867",2026-01-27T15:02:41.630090,airpaz.com
2026-02-02,BKKA,BKK,TDX,TDX,Bangkok Airways,PG,16:15,17:15,1ชม.0นาที,Direct,4530,"฿4,530",2026-01-27T15:03:10.671163,airpaz.com
2026-02-02,BKKA,BKK,TDX,TDX,Bangkok Airways,PG,08:10,09:10,1ชม.0นาที,Direct,4867,"฿4,867",2026-01-27T15:03:10.714118,airpaz.com
2026-02-03,BKKA,BKK,TDX,TDX,Bangkok Airways,PG,16:15,17:15,1ชม.0นาที,Direct,4130,"฿4,130",2026-01-27T15:03:39.263047,airpaz.com
2026-02-03,BKKA,BKK,TDX,TDX,Bangkok Airways,PG,12:45,13:45,1ชม.0นาที,Direct,4848,"฿4,848",2026-01-27T15:03:39.319335,airpaz.com
2026-02-03,BKKA,BKK,TDX,TDX,Bangkok Airways,PG,08:10,09:10,1ชม.0นาที,Direct,4867,"฿4,867",2026-01-27T15:03:39.376299,airpaz.com
2026-02-05,BKKA,BKK,TDX,TDX,Bangkok Airways,PG,08:10,09:10,1ชม.0นาที,Direct,4077,"฿4,077",2026-01-27T15:05:22.067721,airpaz.com
2026-02-05,BKKA,BKK,TDX,TDX,Bangkok Airways,PG,16:15,17:15,1ชม.0นาที,Direct,4530,"฿4,530",2026-01-27T15:05:22.115596,airpaz.com
2026-02-05,BKKA,BKK,TDX,TDX,Bangkok Airways,PG,12:45,13:45,1ชม.0นาที,Direct,4848,"฿4,848",2026-01-27T15:05:22.207533,airpaz.com
2026-02-06,BKKA,BKK,TDX,TDX,Bangkok Airways,PG,16:15,17:15,1ชม.0นาที,Direct,3730,"฿3,730",2026-01-27T15:05:50.687920,airpaz.com
2026-02-06,BKKA,BKK,TDX,TDX,Bangkok Airways,PG,08:10,09:10,1ชม.0นาที,Direct,4472,"฿4,472",2026-01-27T15:05:50.729992,airpaz.com
2026-02-06,BKKA,BKK,TDX,TDX,Bangkok Airways,PG,12:45,13:45,1ชม.0นาที,Direct,4848,"฿4,848",2026-01-27T15:05:50.768313,airpaz.com
2026-02-07,BKKA,BKK,TDX,TDX,Bangkok Airways,PG,08:10,09:10,1ชม.0นาที,Direct,4867,"฿4,867",2026-01-27T15:06:19.199795,airpaz.com
2026-02-08,BKKA,BKK,TDX,TDX,Bangkok Airways,PG,08:10,09:10,1ชม.0นาที,Direct,4867,"฿4,867",2026-01-27T15:06:49.124153,airpaz.com
2026-02-08,BKKA,BKK,TDX,TDX,Bangkok Airways,PG,16:15,17:15,1ชม.0นาที,Direct,4930,"฿4,930",2026-01-27T15:06:49.168849,airpaz.com
2026-02-09,BKKA,BKK,TDX,TDX,Bangkok Airways,PG,12:45,13:45,1ชม.0นาที,Direct,4848,"฿4,848",2026-01-27T15:07:21.026619,airpaz.com
2026-02-09,BKKA,BKK,TDX,TDX,Bangkok Airways,PG,08:10,09:10,1ชม.0นาที,Direct,4867,"฿4,867",2026-01-27T15:07:21.070207,airpaz.com
2026-02-09,BKKA,BKK,TDX,TDX,Bangkok Airways,PG,16:15,17:15,1ชม.0นาที,Direct,4930,"฿4,930",2026-01-27T15:07:21.137772,airpaz.com
2026-02-10,BKKA,BKK,TDX,TDX,Bangkok Airways,PG,12:45,13:45,1ชม.0นาที,Direct,4848,"฿4,848",2026-01-27T15:07:52.084741,airpaz.com
2026-02-10,BKKA,BKK,TDX,TDX,Bangkok Airways,PG,08:10,09:10,1ชม.0นาที,Direct,4867,"฿4,867",2026-01-27T15:07:52.127430,airpaz.com
2026-02-10,BKKA,BKK,TDX,TDX,Bangkok Airways,PG,16:15,17:15,1ชม.0นาที,Direct,4930,"฿4,930",2026-01-27T15:07:52.170813,airpaz.com
2026-02-11,BKKA,BKK,TDX,TDX,Bangkok Airways,PG,16:15,17:15,1ชม.0นาที,Direct,4130,"฿4,130",2026-01-27T15:08:20.668907,airpaz.com
2026-02-11,BKKA,BKK,TDX,TDX,Bangkok Airways,PG,12:45,13:45,1ชม.0นาที,Direct,4848,"฿4,848",2026-01-27T15:08:20.712049,airpaz.com
2026-02-11,BKKA,BKK,TDX,TDX,Bangkok Airways,PG,08:10,09:10,1ชม.0นาที,Direct,4867,"฿4,867",2026-01-27T15:08:20.755518,airpaz.com
2026-02-12,BKKA,BKK,TDX,TDX,Bangkok Airways,PG,08:10,09:10,1ชม.0นาที,Direct,3682,"฿3,682",2026-01-27T15:08:49.114935,airpaz.com
2026-02-12,BKKA,BKK,TDX,TDX,Bangkok Airways,PG,12:45,13:45,1ชม.0นาที,Direct,4454,"฿4,454",2026-01-27T15:08:49.158129,airpaz.com
2026-02-12,BKKA,BKK,TDX,TDX,Bangkok Airways,PG,16:15,17:15,1ชม.0นาที,Direct,4530,"฿4,530",2026-01-27T15:08:49.199453,airpaz.com
2026-02-13,BKKA,BKK,TDX,TDX,Bangkok Airways,PG,08:10,09:10,1ชม.0นาที,Direct,4867,"฿4,867",2026-01-27T15:09:18.525776,airpaz.com
2026-02-13,BKKA,BKK,TDX,TDX,Bangkok Airways,PG,16:15,17:15,1ชม.0นาที,Direct,4930,"฿4,930",2026-01-27T15:09:18.566805,airpaz.com
