date,origin_group,dep_airport,arr_airport,destination,airline,airline_code,dep_time,arr_time,duration,stops,price_value,price_text,scraped_at,source
2026-01-26,BKKA,DMK,TST,TST,Thai Lion Air,SL,15:30,16:55,1ชม.25นาที,Direct,1734,"฿1,734",2026-01-26T09:29:13.264053,airpaz.com
2026-01-26,BKKA,DMK,TST,TST,Thai AirAsia,FD,17:45,19:10,1ชม.25นาที,Direct,2525,"฿2,525",2026-01-26T09:29:13.304949,airpaz.com
2026-01-26,BKKA,DMK,TST,TST,Nok Air,DD,12:40,14:10,1ชม.30นาที,Direct,2834,"฿2,834",2026-01-26T09:29:13.373038,airpaz.com
2026-01-27,BKKA,DMK,TST,TST,Thai Lion Air,SL,08:05,09:30,1ชม.25นาที,Direct,1259,"฿1,259",2026-01-26T09:29:41.955711,airpaz.com
2026-01-27,BKKA,DMK,TST,TST,Thai Lion Air,SL,15:30,16:55,1ชม.25นาที,Direct,1259,"฿1,259",2026-01-26T09:29:41.995124,airpaz.com
2026-01-27,BKKA,DMK,TST,TST,Nok Air,DD,12:40,14:10,1ชม.30นาที,Direct,1441,"฿1,441",2026-01-26T09:29:42.055353,airpaz.com
2026-01-27,BKKA,DMK,TST,TST,Thai AirAsia,FD,17:40,19:05,1ชม.25นาที,Direct,2049,"฿2,049",2026-01-26T09:29:42.095030,airpaz.com
2026-01-27,BKKA,DMK,TST,TST,Thai AirAsia,FD,07:50,09:20,1ชม.30นาที,Direct,2065,"฿2,065",2026-01-26T09:29:42.135020,airpaz.com
2026-01-28,BKKA,DMK,TST,TST,Thai Lion Air,SL,08:05,09:30,1ชม.25นาที,Direct,1069,"฿1,069",2026-01-26T09:29:57.424711,airpaz.com
2026-01-28,BKKA,DMK,TST,TST,Thai Lion Air,SL,15:30,16:55,1ชม.25นาที,Direct,1069,"฿1,069",2026-01-26T09:29:57.470299,airpaz.com
2026-01-28,BKKA,DMK,TST,TST,Nok Air,DD,12:40,14:10,1ชม.30นาที,Direct,1105,"฿1,105",2026-01-26T09:29:57.515732,airpaz.com
2026-01-28,BKKA,DMK,TST,TST,Nok Air,DD,06:50,08:20,1ชม.30นาที,Direct,1151,"฿1,151",2026-01-26T09:29:57.556309,airpaz.com
2026-01-28,BKKA,DMK,TST,TST,Thai AirAsia,FD,17:40,19:05,1ชม.25นาที,Direct,2049,"฿2,049",2026-01-26T09:29:57.596503,airpaz.com
2026-01-28,BKKA,DMK,TST,TST,Thai AirAsia,FD,07:50,09:20,1ชม.30นาที,Direct,2065,"฿2,065",2026-01-26T09:29:57.638300,airpaz.com
2026-01-29,BKKA,DMK,TST,TST,Nok Air,DD,12:40,14:10,1ชม.30นาที,Direct,1249,"฿1,249",2026-01-26T09:30:00.942854,airpaz.com
2026-01-29,BKKA,DMK,TST,TST,Thai Lion Air,SL,08:05,09:30,1ชม.25นาที,Direct,1259,"฿1,259",2026-01-26T09:30:00.984830,airpaz.com
2026-01-29,BKKA,DMK,TST,TST,Thai Lion Air,SL,15:30,16:55,1ชม.25นาที,Direct,1259,"฿1,259",2026-01-26T09:30:01.028499,airpaz.com
2026-01-29,BKKA,DMK,TST,TST,Thai AirAsia,FD,17:40,19:05,1ชม.25นาที,Direct,1716,"฿1,716",2026-01-26T09:30:01.071548,airpaz.com
2026-01-29,BKKA,DMK,TST,TST,Thai AirAsia,FD,07:50,09:20,1ชม.30นาที,Direct,1729,"฿1,729",2026-01-26T09:30:01.115714,airpaz.com
2026-01-30,BKKA,DMK,TST,TST,Thai Lion Air,SL,08:05,09:30,1ชม.25นาที,Direct,1259,"฿1,259",2026-01-26T09:30:29.461556,airpaz.com
2026-01-30,BKKA,DMK,TST,TST,Thai Lion Air,SL,15:30,16:55,1ชม.25นาที,Direct,1734,"฿1,734",2026-01-26T09:30:29.504483,airpaz.com
2026-01-30,BKKA,DMK,TST,TST,Thai AirAsia,FD,17:40,19:05,1ชม.25นาที,Direct,2049,"฿2,049",2026-01-26T09:30:29.546486,airpaz.com
2026-01-30,BKKA,DMK,TST,TST,Thai AirAsia,FD,07:50,09:20,1ชม.30นาที,Direct,2065,"฿2,065",2026-01-26T09:30:29.587561,airpaz.com
2026-01-30,BKKA,DMK,TST,TST,Nok Air,DD,12:40,14:10,1ชม.30นาที,Direct,2834,"฿2,834",2026-01-26T09:30:29.629668,airpaz.com
2026-01-31,BKKA,DMK,TST,TST,Thai Lion Air,SL,15:30,16:55,1ชม.25นาที,Direct,1734,"฿1,734",2026-01-26T09:30:58.071465,airpaz.com
2026-01-31,BKKA,DMK,TST,TST,Nok Air,DD,12:40,14:10,1ชม.30นาที,Direct,1826,"฿1,826",2026-01-26T09:30:58.112973,airpaz.com
2026-01-31,BKKA,DMK,TST,TST,Thai Lion Air,SL,08:05,09:30,1ชม.25นาที,Direct,1924,"฿1,924",2026-01-26T09:30:58.154817,airpaz.com
2026-01-31,BKKA,DMK,TST,TST,Thai AirAsia,FD,17:40,19:05,1ชม.25นาที,Direct,2240,"฿2,240",2026-01-26T09:30:58.201666,airpaz.com
2026-01-31,BKKA,DMK,TST,TST,Thai AirAsia,FD,07:50,09:20,1ชม.30นาที,Direct,2545,"฿2,545",2026-01-26T09:30:58.256291,airpaz.com
2026-02-01,BKKA,DMK,TST,TST,Thai Lion Air,SL,08:05,09:30,1ชม.25นาที,Direct,1734,"฿1,734",2026-01-26T09:31:26.879897,airpaz.com
2026-02-01,BKKA,DMK,TST,TST,Thai AirAsia,FD,07:50,09:20,1ชม.30นาที,Direct,2065,"฿2,065",2026-01-26T09:31:26.923852,airpaz.com
2026-02-01,BKKA,DMK,TST,TST,Nok Air,DD,12:40,14:10,1ชม.30นาที,Direct,2402,"฿2,402",2026-01-26T09:31:26.966762,airpaz.com
2026-02-01,BKKA,DMK,TST,TST,Thai Lion Air,SL,15:30,16:55,1ชม.25นาที,Direct,3634,"฿3,634",2026-01-26T09:31:27.012365,airpaz.com
2026-02-01,BKKA,DMK,TST,TST,Thai AirAsia,FD,17:40,19:05,1ชม.25นาที,Direct,4669,"฿4,669",2026-01-26T09:31:27.056863,airpaz.com
2026-02-02,BKKA,DMK,TST,TST,Thai Lion Air,SL,08:05,09:30,1ชม.25นาที,Direct,1734,"฿1,734",2026-01-26T09:31:51.670341,airpaz.com
2026-02-02,BKKA,DMK,TST,TST,Nok Air,DD,12:40,14:10,1ชม.30นาที,Direct,1826,"฿1,826",2026-01-26T09:31:51.716784,airpaz.com
2026-02-02,BKKA,DMK,TST,TST,Thai Lion Air,SL,15:30,16:55,1ชม.25นาที,Direct,1924,"฿1,924",2026-01-26T09:31:51.765822,airpaz.com
2026-02-02,BKKA,DMK,TST,TST,Thai AirAsia,FD,17:45,19:10,1ชม.25นาที,Direct,2049,"฿2,049",2026-01-26T09:31:51.825162,airpaz.com
2026-02-02,BKKA,DMK,TST,TST,Thai AirAsia,FD,07:50,09:20,1ชม.30นาที,Direct,2065,"฿2,065",2026-01-26T09:31:51.866962,airpaz.com
2026-02-03,BKKA,DMK,TST,TST,Nok Air,DD,12:40,14:10,1ชม.30นาที,Direct,1634,"฿1,634",2026-01-26T09:32:16.797762,airpaz.com
2026-02-03,BKKA,DMK,TST,TST,Thai Lion Air,SL,08:05,09:30,1ชม.25นาที,Direct,1924,"฿1,924",2026-01-26T09:32:16.854364,airpaz.com
2026-02-03,BKKA,DMK,TST,TST,Thai Lion Air,SL,15:30,16:55,1ชม.25นาที,Direct,1924,"฿1,924",2026-01-26T09:32:16.897273,airpaz.com
2026-02-03,BKKA,DMK,TST,TST,Thai AirAsia,FD,17:40,19:05,1ชม.25นาที,Direct,2049,"฿2,049",2026-01-26T09:32:16.940990,airpaz.com
2026-02-03,BKKA,DMK,TST,TST,Thai AirAsia,FD,07:50,09:20,1ชม.30นาที,Direct,2065,"฿2,065",2026-01-26T09:32:16.983460,airpaz.com
2026-02-04,BKKA,DMK,TST,TST,Nok Air,DD,12:40,14:10,1ชม.30นาที,Direct,1634,"฿1,634",2026-01-26T09:32:31.443637,airpaz.com
2026-02-04,BKKA,DMK,TST,TST,Thai Lion Air,SL,08:05,09:30,1ชม.25นาที,Direct,1924,"฿1,924",2026-01-26T09:32:31.486783,airpaz.com
2026-02-04,BKKA,DMK,TST,TST,Thai Lion Air,SL,15:30,16:55,1ชม.25นาที,Direct,1924,"฿1,924",2026-01-26T09:32:31.529442,airpaz.com
2026-02-04,BKKA,DMK,TST,TST,Thai AirAsia,FD,17:40,19:05,1ชม.25นาที,Direct,2049,"฿2,049",2026-01-26T09:32:31.572137,airpaz.com
2026-02-04,BKKA,DMK,TST,TST,Thai AirAsia,FD,07:50,09:20,1ชม.30นาที,Direct,2065,"฿2,065",2026-01-26T09:32:31.614026,airpaz.com
2026-02-05,BKKA,DMK,TST,TST,Nok Air,DD,12:40,14:10,1ชม.30นาที,Direct,1441,"฿1,441",2026-01-26T09:32:34.787850,airpaz.com
2026-02-05,BKKA,DMK,TST,TST,Thai Lion Air,SL,08:05,09:30,1ชม.25นาที,Direct,1734,"฿1,734",2026-01-26T09:32:34.829702,airpaz.com
2026-02-05,BKKA,DMK,TST,TST,Thai Lion Air,SL,15:30,16:55,1ชม.25นาที,Direct,1734,"฿1,734",2026-01-26T09:32:34.871469,airpaz.com
2026-02-05,BKKA,DMK,TST,TST,Thai AirAsia,FD,17:40,19:05,1ชม.25นาที,Direct,2049,"฿2,049",2026-01-26T09:32:34.911989,airpaz.com
2026-02-05,BKKA,DMK,TST,TST,Thai AirAsia,FD,07:50,09:20,1ชม.30นาที,Direct,2065,"฿2,065",2026-01-26T09:32:34.953486,airpaz.com
2026-02-06,BKKA,DMK,TST,TST,Nok Air,DD,12:40,14:10,1ชม.30นาที,Direct,1441,"฿1,441",2026-01-26T09:32:41.981480,airpaz.com
2026-02-06,BKKA,DMK,TST,TST,Thai Lion Air,SL,08:05,09:30,1ชม.25นาที,Direct,1734,"฿1,734",2026-01-26T09:32:42.028313,airpaz.com
2026-02-06,BKKA,DMK,TST,TST,Thai Lion Air,SL,15:30,16:55,1ชม.25นาที,Direct,1734,"฿1,734",2026-01-26T09:32:42.076854,airpaz.com
2026-02-06,BKKA,DMK,TST,TST,Thai AirAsia,FD,17:40,19:05,1ชม.25นาที,Direct,2049,"฿2,049",2026-01-26T09:32:42.154222,airpaz.com
2026-02-06,BKKA,DMK,TST,TST,Thai AirAsia,FD,07:50,09:20,1ชม.30นาที,Direct,2065,"฿2,065",2026-01-26T09:32:42.215566,airpaz.com
