date,origin_group,dep_airport,arr_airport,destination,airline,airline_code,dep_time,arr_time,duration,stops,price_value,price_text,scraped_at,source
2026-01-26,BKKA,BKK,USM,USM,Bangkok Airways,PG,11:40,12:45,1ชม.5นาที,Direct,5590,"฿5,590",2026-01-27T17:49:51.680327,airpaz.com
2026-01-27,BKKA,BKK,USM,USM,Bangkok Airways,PG,11:40,12:45,1ชม.5นาที,Direct,5590,"฿5,590",2026-01-27T17:50:06.870277,airpaz.com
2026-01-28,BKKA,BKK,USM,USM,Bangkok Airways,PG,11:40,12:45,1ชม.5นาที,Direct,5590,"฿5,590",2026-01-27T17:50:35.893515,airpaz.com
2026-01-29,BKKA,BKK,USM,USM,Bangkok Airways,PG,06:05,07:40,1ชม.35นาที,Direct,5590,"฿5,590",2026-01-27T17:51:08.003037,airpaz.com
2026-01-29,BKKA,BKK,USM,USM,Bangkok Airways,PG,06:10,07:45,1ชม.35นาที,Direct,5590,"฿5,590",2026-01-27T17:51:08.081476,airpaz.com
2026-01-29,BKKA,BKK,USM,USM,Bangkok Airways,PG,06:30,08:05,1ชม.35นาที,Direct,5590,"฿5,590",2026-01-27T17:51:08.156781,airpaz.com
2026-01-29,BKKA,BKK,USM,USM,Bangkok Airways,PG,16:30,17:40,1ชม.10นาที,Direct,5590,"฿5,590",2026-01-27T17:51:08.234079,airpaz.com
2026-01-30,BKKA,BKK,USM,USM,Bangkok Airways,PG,06:05,07:40,1ชม.35นาที,Direct,4980,"฿4,980",2026-01-27T17:51:37.087669,airpaz.com
2026-01-30,BKKA,BKK,USM,USM,Bangkok Airways,PG,06:10,07:45,1ชม.35นาที,Direct,5590,"฿5,590",2026-01-27T17:51:37.148634,airpaz.com
2026-01-30,BKKA,BKK,USM,USM,Bangkok Airways,PG,06:30,08:05,1ชม.35นาที,Direct,5590,"฿5,590",2026-01-27T17:51:37.204089,airpaz.com
2026-01-30,BKKA,BKK,USM,USM,Bangkok Airways,PG,07:00,08:10,1ชม.10นาที,Direct,5590,"฿5,590",2026-01-27T17:51:37.246110,airpaz.com
2026-01-31,BKKA,BKK,USM,USM,Bangkok Airways,PG,06:10,07:45,1ชม.35นาที,Direct,5590,"฿5,590",2026-01-27T17:52:08.167991,airpaz.com
2026-01-31,BKKA,BKK,USM,USM,Bangkok Airways,PG,06:20,07:30,1ชม.10นาที,Direct,5590,"฿5,590",2026-01-27T17:52:08.276131,airpaz.com
2026-01-31,BKKA,BKK,USM,USM,Bangkok Airways,PG,06:30,08:05,1ชม.35นาที,Direct,5590,"฿5,590",2026-01-27T17:52:08.370560,airpaz.com
2026-01-31,BKKA,BKK,USM,USM,Bangkok Airways,PG,10:25,11:35,1ชม.10นาที,Direct,5590,"฿5,590",2026-01-27T17:52:08.446408,airpaz.com
2026-01-31,BKKA,BKK,USM,USM,Bangkok Airways,PG,15:15,16:25,1ชม.10นาที,Direct,5590,"฿5,590",2026-01-27T17:52:08.566263,airpaz.com
2026-01-31,BKKA,BKK,USM,USM,Bangkok Airways,PG,17:30,18:40,1ชม.10นาที,Direct,5590,"฿5,590",2026-01-27T17:52:08.717253,airpaz.com
2026-01-31,BKKA,BKK,USM,USM,Bangkok Airways,PG,19:15,20:25,1ชม.10นาที,Direct,5590,"฿5,590",2026-01-27T17:52:08.842243,airpaz.com
2026-02-01,BKKA,BKK,USM,USM,Bangkok Airways,PG,06:10,07:45,1ชม.35นาที,Direct,5590,"฿5,590",2026-01-27T17:52:13.392117,airpaz.com
2026-02-01,BKKA,BKK,USM,USM,Bangkok Airways,PG,06:20,07:30,1ชม.10นาที,Direct,5590,"฿5,590",2026-01-27T17:52:13.447290,airpaz.com
2026-02-01,BKKA,BKK,USM,USM,Bangkok Airways,PG,06:30,08:05,1ชม.35นาที,Direct,5590,"฿5,590",2026-01-27T17:52:13.505047,airpaz.com
2026-02-01,BKKA,BKK,USM,USM,Bangkok Airways,PG,10:25,11:35,1ชม.10นาที,Direct,5590,"฿5,590",2026-01-27T17:52:13.559034,airpaz.com
2026-02-01,BKKA,BKK,USM,USM,Bangkok Airways,PG,15:15,16:25,1ชม.10นาที,Direct,5590,"฿5,590",2026-01-27T17:52:13.625208,airpaz.com
2026-02-01,BKKA,BKK,USM,USM,Bangkok Airways,PG,17:30,18:40,1ชม.10นาที,Direct,5590,"฿5,590",2026-01-27T17:52:13.680319,airpaz.com
2026-02-01,BKKA,BKK,USM,USM,Bangkok Airways,PG,19:15,20:25,1ชม.10นาที,Direct,5590,"฿5,590",2026-01-27T17:52:13.741435,airpaz.com
2026-02-02,BKKA,DMK,USM,USM,Bangkok Airways,PG,18:55,20:30,1ชม.35นาที,Direct,5590,"฿5,590",2026-01-27T17:52:43.611968,airpaz.com
2026-02-03,BKKA,BKK,USM,USM,Bangkok Airways,PG,05:50,07:25,1ชม.35นาที,Direct,5590,"฿5,590",2026-01-27T17:52:52.765681,airpaz.com
2026-02-03,BKKA,BKK,USM,USM,Bangkok Airways,PG,06:10,07:45,1ชม.35นาที,Direct,5590,"฿5,590",2026-01-27T17:52:52.824138,airpaz.com
2026-02-03,BKKA,BKK,USM,USM,Bangkok Airways,PG,11:55,13:05,1ชม.10นาที,Direct,5590,"฿5,590",2026-01-27T17:52:52.881221,airpaz.com
2026-02-03,BKKA,DMK,USM,USM,Bangkok Airways,PG,18:55,20:30,1ชม.35นาที,Direct,5590,"฿5,590",2026-01-27T17:52:52.949967,airpaz.com
2026-02-04,BKKA,BKK,USM,USM,Bangkok Airways,PG,05:50,07:25,1ชม.35นาที,Direct,4730,"฿4,730",2026-01-27T17:53:22.553795,airpaz.com
2026-02-04,BKKA,BKK,USM,USM,Bangkok Airways,PG,06:35,07:35,1ชม.0นาที,Direct,4730,"฿4,730",2026-01-27T17:53:22.613360,airpaz.com
2026-02-04,BKKA,BKK,USM,USM,Bangkok Airways,PG,06:10,07:45,1ชม.35นาที,Direct,5180,"฿5,180",2026-01-27T17:53:22.668828,airpaz.com
2026-02-04,BKKA,BKK,USM,USM,Bangkok Airways,PG,07:00,08:10,1ชม.10นาที,Direct,5180,"฿5,180",2026-01-27T17:53:22.733970,airpaz.com
2026-02-04,BKKA,BKK,USM,USM,Bangkok Airways,PG,07:30,08:40,1ชม.10นาที,Direct,5590,"฿5,590",2026-01-27T17:53:22.822685,airpaz.com
2026-02-04,BKKA,DMK,USM,USM,Bangkok Airways,PG,08:50,10:25,1ชม.35นาที,Direct,5590,"฿5,590",2026-01-27T17:53:22.877365,airpaz.com
2026-02-04,BKKA,DMK,USM,USM,Bangkok Airways,PG,18:55,20:30,1ชม.35นาที,Direct,5590,"฿5,590",2026-01-27T17:53:22.934650,airpaz.com
2026-02-05,BKKA,DMK,USM,USM,Bangkok Airways,PG,08:50,10:25,1ชม.35นาที,Direct,5590,"฿5,590",2026-01-27T17:53:54.201273,airpaz.com
2026-02-05,BKKA,DMK,USM,USM,Bangkok Airways,PG,18:55,20:30,1ชม.35นาที,Direct,5590,"฿5,590",2026-01-27T17:53:54.287346,airpaz.com
