date,airport,direction,time,destination,flight,airline,duration,scraped_at
2026-04-23,PBH,departure,06:30,BUT Jakar,KB10,Drukair,0h 35m,2026-02-14T14:12:28.632633
2026-04-23,PBH,departure,07:00,KTM Kathmandu,KB400,Drukair,1h 15m,2026-02-14T14:12:28.819115
2026-04-23,PBH,departure,08:40,YON Trashigang,KB30,Drukair,0h 45m,2026-02-14T14:12:29.043717
2026-04-23,PBH,departure,10:35,CCU Kolkata,B3700,Bhutan Airlines,1h 10m,2026-02-14T14:12:29.327379
2026-04-23,PBH,departure,10:50,KTM Kathmandu,B3773,Bhutan Airlines,1h 10m,2026-02-14T14:12:29.534417
2026-04-23,PBH,departure,11:10,BUT Jakar,KB12,Drukair,0h 35m,2026-02-14T14:12:29.752090
2026-04-23,PBH,departure,11:50,GAU Guwahati,KB140,Drukair,0h 55m,2026-02-14T14:12:29.944041
2026-04-23,PBH,departure,11:55,DEL Delhi,KB202,Drukair,2h 20m,2026-02-14T14:12:30.144979
2026-04-23,PBH,arrival,07:15,DEL Delhi,KB203,Drukair,2h 0m,2026-02-14T14:12:33.757597
2026-04-23,PBH,arrival,08:05,BUT Jakar,KB11,Drukair,0h 35m,2026-02-14T14:12:33.944343
2026-04-23,PBH,arrival,08:15,BKK Bangkok,KB153,Drukair,3h 15m,2026-02-14T14:12:34.136947
2026-04-23,PBH,arrival,09:55,CCU Kolkata,B3701,Bhutan Airlines,1h 0m,2026-02-14T14:12:34.327296
2026-04-23,PBH,arrival,10:10,KTM Kathmandu,B3774,Bhutan Airlines,1h 0m,2026-02-14T14:12:34.510564
2026-04-23,PBH,arrival,10:20,KTM Kathmandu,KB401,Drukair,1h 5m,2026-02-14T14:12:34.709233
2026-04-23,PBH,arrival,10:30,YON Trashigang,KB31,Drukair,0h 35m,2026-02-14T14:12:34.904049
2026-04-23,PBH,arrival,16:45,GAU Guwahati,KB541,Drukair,0h 55m,2026-02-14T14:12:35.093828
