date,airport,direction,time,destination,flight,airline,duration,scraped_at
2026-08-20,BWN,departure,02:00,PKX Beijing,BI623,Royal Brunei Airlines,5h 25m,2026-02-12T19:27:46.680305
2026-08-20,BWN,departure,08:50,KUL Kuala Lumpur,BI871,Royal Brunei Airlines,2h 30m,2026-02-12T19:27:46.828489
2026-08-20,BWN,departure,09:40,TPE Taipei,BI451,Royal Brunei Airlines,3h 35m,2026-02-12T19:27:46.984530
2026-08-20,BWN,departure,10:25,HKG Hong Kong,BI635,Royal Brunei Airlines,3h 10m,2026-02-12T19:27:47.129343
2026-08-20,BWN,departure,10:55,CGK Jakarta,BI735,Royal Brunei Airlines,2h 25m,2026-02-12T19:27:47.294235
2026-08-20,BWN,departure,12:10,SIN Singapore,SQ147,Singapore Airlines,2h 20m,2026-02-12T19:27:47.455052
2026-08-20,BWN,departure,12:30,SGN Ho Chi Minh City,BI381,Royal Brunei Airlines,1h 55m,2026-02-12T19:27:47.602453
2026-08-20,BWN,departure,13:05,KCH Kuching,BI855,Royal Brunei Airlines,1h 10m,2026-02-12T19:27:47.759480
2026-08-20,BWN,departure,15:25,BKI Kota Kinabalu,BI825,Royal Brunei Airlines,0h 40m,2026-02-12T19:27:47.917423
2026-08-20,BWN,departure,16:10,KUL Kuala Lumpur,AK279,AirAsia,2h 25m,2026-02-12T19:27:48.070226
2026-08-20,BWN,departure,17:55,KUL Kuala Lumpur,BI873,Royal Brunei Airlines,2h 30m,2026-02-12T19:27:48.222370
2026-08-20,BWN,departure,18:30,SIN Singapore,BI423,Royal Brunei Airlines,2h 0m,2026-02-12T19:27:48.376016
2026-08-20,BWN,departure,18:30,MNL Manila,BI685,Royal Brunei Airlines,2h 25m,2026-02-12T19:27:48.520817
2026-08-20,BWN,departure,19:00,BKI Kota Kinabalu,BI827,Royal Brunei Airlines,0h 40m,2026-02-12T19:27:48.679742
2026-08-20,BWN,departure,19:05,DXB Dubai,BI97,Royal Brunei Airlines,8h 25m,2026-02-12T19:27:48.828198
2026-08-20,BWN,departure,20:00,MAA Chennai,BI121,Royal Brunei Airlines,5h 20m,2026-02-12T19:27:48.977304
2026-08-20,BWN,departure,20:35,MEL Melbourne,BI5,Royal Brunei Airlines,6h 55m,2026-02-12T19:27:49.129304
2026-08-20,BWN,departure,21:35,SUB Surabaya,BI795,Royal Brunei Airlines,2h 15m,2026-02-12T19:27:49.282376
2026-08-20,BWN,departure,23:40,MNL Manila,5J410,Cebu Pacific,2h 20m,2026-02-12T19:27:49.438848
2026-08-20,BWN,arrival,00:45,BKK Bangkok,BI520,Royal Brunei Airlines,2h 45m,2026-02-12T19:27:54.661823
2026-08-20,BWN,arrival,09:00,SUB Surabaya,BI796,Royal Brunei Airlines,2h 15m,2026-02-12T19:27:54.808061
2026-08-20,BWN,arrival,11:20,SIN Singapore,SQ148,Singapore Airlines,2h 20m,2026-02-12T19:27:54.947000
2026-08-20,BWN,arrival,14:35,KUL Kuala Lumpur,BI872,Royal Brunei Airlines,2h 25m,2026-02-12T19:27:55.085688
2026-08-20,BWN,arrival,15:45,KUL Kuala Lumpur,AK278,AirAsia,2h 25m,2026-02-12T19:27:55.255402
2026-08-20,BWN,arrival,16:20,KCH Kuching,BI856,Royal Brunei Airlines,1h 15m,2026-02-12T19:27:55.387870
2026-08-20,BWN,arrival,16:40,CGK Jakarta,BI736,Royal Brunei Airlines,2h 30m,2026-02-12T19:27:55.539131
2026-08-20,BWN,arrival,17:10,SGN Ho Chi Minh City,BI382,Royal Brunei Airlines,1h 55m,2026-02-12T19:27:55.680329
2026-08-20,BWN,arrival,17:15,BKI Kota Kinabalu,BI826,Royal Brunei Airlines,0h 40m,2026-02-12T19:27:55.836759
2026-08-20,BWN,arrival,17:40,HKG Hong Kong,BI636,Royal Brunei Airlines,3h 0m,2026-02-12T19:27:55.986615
2026-08-20,BWN,arrival,17:40,MEL Melbourne,BI6,Royal Brunei Airlines,7h 10m,2026-02-12T19:27:56.127965
2026-08-20,BWN,arrival,17:50,DXB Dubai,BI98,Royal Brunei Airlines,8h 35m,2026-02-12T19:27:56.276389
2026-08-20,BWN,arrival,17:50,TPE Taipei,BI452,Royal Brunei Airlines,3h 35m,2026-02-12T19:27:56.413578
2026-08-20,BWN,arrival,20:55,BKI Kota Kinabalu,BI828,Royal Brunei Airlines,0h 40m,2026-02-12T19:27:56.555892
2026-08-20,BWN,arrival,22:55,MNL Manila,5J409,Cebu Pacific,2h 25m,2026-02-12T19:27:56.697588
2026-08-20,BWN,arrival,23:40,KUL Kuala Lumpur,BI874,Royal Brunei Airlines,2h 25m,2026-02-12T19:27:56.841637
2026-08-20,BWN,arrival,23:40,SIN Singapore,BI424,Royal Brunei Airlines,2h 10m,2026-02-12T19:27:56.985496
2026-08-20,BWN,arrival,23:59,MNL Manila,BI686,Royal Brunei Airlines,2h 14m,2026-02-12T19:27:57.120809
