date,airport,direction,time,destination,flight,airline,airline_source,duration,aircraft,page_date_verified,scraped_at
2026-10-14,DYU,departure,00:00,DME Moscow,DW101,Great Dane Airlines,text,2h 30m,Airbus A320,True,2026-02-16T17:48:53.593640
2026-10-14,DYU,departure,00:30,DME Moscow,SZ201,Somon Air,text,2h 40m,Boeing 737-900 Passenger,True,2026-02-16T17:48:54.634580
2026-10-14,DYU,departure,01:20,LED Saint Petersburg,U62880,Ural Airlines,text,5h 15m,Airbus A320,True,2026-02-16T17:48:55.682701
2026-10-14,DYU,departure,01:50,ZIA Zhukovsky,SZ231,Somon Air,text,2h 40m,Boeing 737-800 Passenger,True,2026-02-16T17:48:56.735944
2026-10-14,DYU,departure,02:20,IST Istanbul,TK255,Turkish Airlines,text,5h 30m,Boeing 737-800 (winglets) Passenger/BBJ2,True,2026-02-16T17:48:57.786802
2026-10-14,DYU,departure,02:25,GYD Baku,J2526,AZAL,text,2h 50m,Embraer 190,True,2026-02-16T17:48:58.833906
2026-10-14,DYU,departure,03:00,URC Urumqi,SZ303,Somon Air,text,5h 30m,Boeing 737-800 Passenger,True,2026-02-16T17:48:59.879202
2026-10-14,DYU,departure,03:30,KWI Kuwait,J9632,Jazeera,text,3h 45m,Airbus A320neo,True,2026-02-16T17:49:00.928440
2026-10-14,DYU,departure,04:45,DXB Dubai,FZ794,flydubai,text,3h 40m,Boeing 737-800 (winglets) Passenger/BBJ2,True,2026-02-16T17:49:01.978128
2026-10-14,DYU,departure,05:15,JED Jeddah,SZ425,Somon Air,text,3h 40m,Boeing 737-800 Passenger,True,2026-02-16T17:49:03.042549
2026-10-14,DYU,departure,05:25,AER Adler/Sochi,U62662,Ural Airlines,text,4h 5m,Airbus A320,True,2026-02-16T17:49:04.102872
2026-10-14,DYU,departure,07:05,KZN Kazan,U62990,Ural Airlines,text,3h 50m,Airbus A320,True,2026-02-16T17:49:05.174504
2026-10-14,DYU,departure,08:30,ZIA Zhukovsky,U62442,Ural Airlines,text,4h 30m,Airbus A321,True,2026-02-16T17:49:06.284737
2026-10-14,DYU,departure,10:30,TAS Tashkent,HY718,Uzbekistan Airways,text,1h 0m,Airbus A320neo,True,2026-02-16T17:49:07.352308
2026-10-14,DYU,departure,12:00,LED Saint Petersburg,DW601,Great Dane Airlines,text,3h 30m,Airbus A321,True,2026-02-16T17:49:08.407784
2026-10-14,DYU,departure,13:00,ZIA Zhukovsky,SZ337,Somon Air,text,2h 40m,Boeing 737-900 Passenger,True,2026-02-16T17:49:09.445825
