date,airport,direction,time,destination,flight,airline,airline_source,duration,aircraft,page_date_verified,scraped_at
2026-03-04,CMB,departure,00:25,CDG Paris,UL563,SriLankan Airlines,text,11h 35m,Airbus A330-300,True,2026-02-13T11:32:44.154452
2026-03-04,CMB,departure,00:25,MEL Melbourne,UL604,SriLankan Airlines,text,10h 0m,Airbus A330-300,True,2026-02-13T11:32:45.288616
2026-03-04,CMB,departure,00:35,DEL Delhi,UL191,SriLankan Airlines,text,3h 35m,Airbus A320,True,2026-02-13T11:32:46.415704
2026-03-04,CMB,departure,00:40,FRA Frankfurt,UL557,SriLankan Airlines,text,11h 0m,Airbus A330-300,True,2026-02-13T11:32:47.496739
2026-03-04,CMB,departure,00:40,KUL Kuala Lumpur,MH178,Malaysia Airlines,text,3h 45m,Boeing 737-800 (winglets) Passenger/BBJ2,True,2026-02-13T11:32:48.581426
2026-03-04,CMB,departure,00:45,HKG Hong Kong,CX610,Cathay Pacific,text,5h 25m,Airbus A330-300,True,2026-02-13T11:32:49.650913
2026-03-04,CMB,departure,00:45,SIN Singapore,SQ469,Singapore Airlines,text,4h 0m,Boeing 787,True,2026-02-13T11:32:50.734041
2026-03-04,CMB,departure,01:00,BKK Bangkok,TG308,Thai Airways,text,3h 40m,Airbus A320,True,2026-02-13T11:32:51.804083
2026-03-04,CMB,departure,01:05,KMG Kunming,MU714,China Eastern,text,4h 45m,Boeing 737-500 (winglets) Passenger,True,2026-02-13T11:32:52.935146
2026-03-04,CMB,departure,01:05,BLR Bengaluru,UL173,SriLankan Airlines,text,1h 25m,Airbus A320,True,2026-02-13T11:32:54.097028
2026-03-04,CMB,departure,01:05,KUL Kuala Lumpur,UL318,SriLankan Airlines,text,3h 45m,Airbus A320,True,2026-02-13T11:32:55.229946
2026-03-04,CMB,departure,01:15,BKK Bangkok,UL402,SriLankan Airlines,text,3h 35m,Airbus A320,True,2026-02-13T11:32:56.391417
2026-03-04,CMB,departure,01:35,SIN Singapore,UL306,SriLankan Airlines,text,4h 5m,Airbus A320 (sharklets),True,2026-02-13T11:32:57.515965
2026-03-04,CMB,departure,01:45,DXB Dubai,FZ570,flydubai,text,4h 55m,Boeing 737MAX 8 Passenger,True,2026-02-13T11:32:58.622382
2026-03-04,CMB,departure,02:40,DXB Dubai,EK649,Emirates,text,4h 35m,Boeing 777-300ER,True,2026-02-13T11:32:59.758775
2026-03-04,CMB,departure,02:45,DMK Bangkok,FD143,Thai AirAsia,text,3h 25m,Airbus A320neo,True,2026-02-13T11:33:00.845927
2026-03-04,CMB,departure,02:50,SHJ Sharjah,G9588,Air Arabia,text,4h 40m,Airbus A320,True,2026-02-13T11:33:01.949601
2026-03-04,CMB,departure,03:00,MAA Chennai,6E1172,IndiGo,text,1h 30m,Airbus A321neo,True,2026-02-13T11:33:03.006870
2026-03-04,CMB,departure,03:25,DOH Doha,QR659,Qatar Airways,text,5h 0m,Boeing 787-9,True,2026-02-13T11:33:04.066228
2026-03-04,CMB,departure,03:30,KUL Kuala Lumpur,8D721,FitsAir,text,3h 50m,Airbus A320,True,2026-02-13T11:33:05.192132
2026-03-04,CMB,departure,04:00,AUH Abu Dhabi,EY395,Etihad,text,4h 40m,Airbus A321,True,2026-02-13T11:33:06.253761
2026-03-04,CMB,departure,04:15,DOH Doha,QR663,Qatar Airways,text,5h 0m,Boeing 787-8,True,2026-02-13T11:33:07.320995
2026-03-04,CMB,departure,04:30,KWI Kuwait,J9552,Jazeera,text,6h 0m,Airbus A320neo,True,2026-02-13T11:33:08.413014
2026-03-04,CMB,departure,04:45,SHJ Sharjah,G9503,Air Arabia,text,4h 40m,Airbus A321 (sharklets),True,2026-02-13T11:33:09.501343
2026-03-04,CMB,departure,06:35,MLE Male,8D921,FitsAir,text,1h 25m,Airbus A320,True,2026-02-13T11:33:10.601319
2026-03-04,CMB,departure,07:20,MAA Chennai,UL121,SriLankan Airlines,text,1h 20m,Airbus A330-300,True,2026-02-13T11:33:15.242265
2026-03-04,CMB,departure,07:20,MLE Male,UL101,SriLankan Airlines,text,1h 25m,Airbus A330-300,True,2026-02-13T11:33:16.324694
2026-03-04,CMB,departure,07:25,CGK Jakarta,UL364,SriLankan Airlines,text,4h 40m,Airbus A320 (sharklets),True,2026-02-13T11:33:17.414421
2026-03-04,CMB,departure,07:25,HYD Hyderabad,UL177,SriLankan Airlines,text,1h 55m,Airbus A320,True,2026-02-13T11:33:18.495799
2026-03-04,CMB,departure,07:30,BKK Bangkok,UL404,SriLankan Airlines,text,3h 35m,Airbus A321 (sharklets),True,2026-02-13T11:33:19.591341
2026-03-04,CMB,departure,07:30,KUL Kuala Lumpur,UL314,SriLankan Airlines,text,3h 45m,Airbus A320,True,2026-02-13T11:33:20.689666
2026-03-04,CMB,departure,08:00,IST Istanbul,TK731,Turkish Airlines,text,8h 45m,Airbus A350-900,True,2026-02-13T11:33:21.767119
2026-03-04,CMB,departure,08:15,TRZ Tiruchirappalli,UL131,SriLankan Airlines,text,1h 0m,Airbus A320,True,2026-02-13T11:33:22.835738
2026-03-04,CMB,departure,08:20,DEL Delhi,AI282,Air India,text,3h 40m,Airbus A320,True,2026-02-13T11:33:24.003911
2026-03-04,CMB,departure,08:55,KTM Kathmandu,UL181,SriLankan Airlines,text,3h 30m,Airbus A320,True,2026-02-13T11:33:25.145921
2026-03-04,CMB,departure,09:10,MAA Chennai,6E1174,IndiGo,text,1h 30m,Airbus A320neo,True,2026-02-13T11:33:26.217385
2026-03-04,CMB,departure,09:15,DXB Dubai,FZ580,flydubai,text,5h 5m,Boeing 737-800 (winglets) Passenger/BBJ2,True,2026-02-13T11:33:27.290419
2026-03-04,CMB,departure,09:20,DAC Dhaka,UL189,SriLankan Airlines,text,3h 10m,Airbus A330-200,True,2026-02-13T11:33:28.367032
2026-03-04,CMB,departure,09:40,BOM Mumbai,AI2275,Air India,text,2h 45m,Airbus A320neo,True,2026-02-13T11:33:29.477014
2026-03-04,CMB,departure,09:50,AUH Abu Dhabi,EY393,Etihad,text,4h 40m,Airbus A320,True,2026-02-13T11:33:30.568863
2026-03-04,CMB,departure,09:55,DXB Dubai,EK651,Emirates,text,4h 30m,Boeing 777-300ER,True,2026-02-13T11:33:31.725130
