date,airport,direction,time,destination,flight,airline,duration,page_date_verified,scraped_at
2026-03-01,BFV,departure,08:25,DMK Bangkok,FD3523,Thai AirAsia,0h 55m,True,2026-02-23T16:47:41.394278
2026-03-01,BFV,departure,11:00,DMK Bangkok,FD7525,Thai AirAsia,0h 55m,True,2026-02-23T16:47:41.511998
2026-03-01,BFV,departure,16:35,DMK Bangkok,FD3521,Thai AirAsia,0h 55m,True,2026-02-23T16:47:41.614266
2026-03-01,BFV,departure,17:35,BKK Bangkok,FD4512,Thai AirAsia,1h 5m,True,2026-02-23T16:47:41.703937
2026-03-01,BFV,departure,18:20,DMK Bangkok,FD8523,Thai AirAsia,0h 55m,True,2026-02-23T16:47:41.801917
2026-03-01,BFV,arrival,07:55,DMK Bangkok,FD3522,Thai AirAsia,1h 0m,True,2026-02-23T16:47:50.732998
2026-03-01,BFV,arrival,16:05,DMK Bangkok,FD3520,Thai AirAsia,1h 0m,True,2026-02-23T16:47:50.821692
2026-03-01,BFV,arrival,17:05,BKK Bangkok,FD4511,Thai AirAsia,1h 5m,True,2026-02-23T16:47:50.910629
2026-03-01,BFV,arrival,17:50,DMK Bangkok,FD8522,Thai AirAsia,1h 0m,True,2026-02-23T16:47:50.999836
2026-03-01,BFV,arrival,19:40,DMK Bangkok,FD7526,Thai AirAsia,1h 0m,True,2026-02-23T16:47:51.087850
