date,airport,direction,time,destination,flight,airline,airline_source,duration,page_date_verified,scraped_at
2026-02-19,BKK,departure,00:01,PER Perth,TG483,Thai Airways,text,6h 54m,True,2026-02-10T19:26:25.538923
2026-02-19,BKK,departure,00:05,CDG Paris,TG930,Thai Airways,text,12h 45m,True,2026-02-10T19:26:25.636097
2026-02-19,BKK,departure,00:05,CPH Copenhagen,TG950,Thai Airways,text,12h 15m,True,2026-02-10T19:26:25.736284
2026-02-19,BKK,departure,00:05,LHR London,TG910,Thai Airways,text,13h 35m,True,2026-02-10T19:26:25.823560
2026-02-19,BKK,departure,00:05,NGO Nagoya,TG644,Thai Airways,text,5h 25m,True,2026-02-10T19:26:25.912318
2026-02-19,BKK,departure,00:05,OSL Oslo,TG954,Thai Airways,text,13h 0m,True,2026-02-10T19:26:26.000393
2026-02-19,BKK,departure,00:05,ARN Stockholm,TG960,Thai Airways,text,12h 40m,True,2026-02-10T19:26:26.091067
2026-02-19,BKK,departure,00:10,NRT Tokyo,NQ2,Air Japan,text,6h 5m,True,2026-02-10T19:26:26.180152
2026-02-19,BKK,departure,00:25,KIX Osaka,VZ820,Vietjet Thailand,text,5h 30m,True,2026-02-10T19:26:26.269289
2026-02-19,BKK,departure,00:25,PKX Beijing,MU2072,China Eastern,text,4h 50m,True,2026-02-10T19:26:26.357226
2026-02-19,BKK,departure,00:30,BRU Brussels,TG934,Thai Airways,text,12h 35m,True,2026-02-10T19:26:26.444781
2026-02-19,BKK,departure,00:30,CKG Chongqing,OQ2362,Chongqing Airlines,text,3h 30m,True,2026-02-10T19:26:26.539147
2026-02-19,BKK,departure,00:35,ZRH Zurich,TG970,Thai Airways,text,12h 20m,True,2026-02-10T19:26:26.638184
2026-02-19,BKK,departure,00:35,MXP Milan,TG940,Thai Airways,text,12h 35m,True,2026-02-10T19:26:26.725751
2026-02-19,BKK,departure,00:40,PUS Busan,7C2552,Jeju Air,text,5h 55m,True,2026-02-10T19:26:26.813636
2026-02-19,BKK,departure,00:50,PUS Busan,LJ22,Jin Air,text,5h 5m,True,2026-02-10T19:26:26.902449
2026-02-19,BKK,departure,00:50,MUC Munich,TG924,Thai Airways,text,11h 55m,True,2026-02-10T19:26:26.993774
2026-02-19,BKK,departure,00:50,FUK Fukuoka,VZ810,Vietjet Thailand,text,5h 5m,True,2026-02-10T19:26:27.081636
2026-02-19,BKK,departure,00:55,ICN Seoul,KE654,Korean Air,text,5h 20m,True,2026-02-10T19:26:27.169395
2026-02-19,BKK,departure,00:55,PVG Shanghai,FM7302,Shanghai Airlines,text,4h 15m,True,2026-02-10T19:26:27.259284
2026-02-19,BKK,departure,01:00,ICN Seoul,7C2504,Jeju Air,text,5h 25m,True,2026-02-10T19:26:27.348525
2026-02-19,BKK,departure,01:00,FUK Fukuoka,TG648,Thai Airways,text,5h 10m,True,2026-02-10T19:26:27.445222
2026-02-19,BKK,departure,01:05,PEK Beijing,HU7996,Hainan Airlines,text,4h 45m,True,2026-02-10T19:26:27.543656
2026-02-19,BKK,departure,01:05,DXB Dubai,EK385,Emirates,text,6h 50m,True,2026-02-10T19:26:27.629517
2026-02-19,BKK,departure,01:10,KIX Osaka,JL728,JAL,text,5h 0m,True,2026-02-10T19:26:27.717309
2026-02-19,BKK,departure,01:10,KIX Osaka,MM92,Peach Aviation,text,5h 35m,True,2026-02-10T19:26:27.804404
2026-02-19,BKK,departure,01:10,PVG Shanghai,TG662,Thai Airways,text,4h 15m,True,2026-02-10T19:26:27.894245
2026-02-19,BKK,departure,01:10,TFU Chengdu,3U3938,Sichuan Airlines,text,3h 0m,True,2026-02-10T19:26:27.982123
2026-02-19,BKK,departure,01:15,PNQ Pune,6E1096,IndiGo,text,4h 5m,True,2026-02-10T19:26:28.071330
2026-02-19,BKK,departure,01:15,PVG Shanghai,9C8756,Spring Airlines,text,4h 25m,True,2026-02-10T19:26:28.158661
2026-02-19,BKK,departure,01:15,JED Jeddah,SV849,Saudia,text,9h 0m,True,2026-02-10T19:26:28.246219
2026-02-19,BKK,departure,01:30,PEK Beijing,CA980,Air China,text,4h 40m,True,2026-02-10T19:26:28.346530
2026-02-19,BKK,departure,01:30,TAS Tashkent,C6526,Centrum Air,text,7h 5m,True,2026-02-10T19:26:28.445385
2026-02-19,BKK,departure,01:30,ICN Seoul,TW102,T´Way Air,text,5h 30m,True,2026-02-10T19:26:28.533224
2026-02-19,BKK,departure,01:40,NKG Nanjing,MU7704,China Eastern,text,4h 0m,True,2026-02-10T19:26:28.621045
2026-02-19,BKK,departure,01:40,HKG Hong Kong,HB296,Greater Bay Airlines,text,2h 55m,True,2026-02-10T19:26:28.708018
2026-02-19,BKK,departure,01:45,XMN Xiamen,MF844,XiamenAir,text,3h 30m,True,2026-02-10T19:26:28.796499
2026-02-19,BKK,departure,01:50,PVG Shanghai,HO1358,Juneyao Airlines,text,4h 5m,True,2026-02-10T19:26:28.883661
2026-02-19,BKK,departure,01:50,TPE Taipei,VZ566,Vietjet Thailand,text,3h 40m,True,2026-02-10T19:26:28.973758
2026-02-19,BKK,departure,01:55,PVG Shanghai,FM850,Shanghai Airlines,text,4h 15m,True,2026-02-10T19:26:29.063539
2026-02-19,BKK,departure,01:55,ADD Addis Ababa,ET609,Ethiopian,text,8h 30m,True,2026-02-10T19:26:29.152005
2026-02-19,BKK,departure,01:55,HKG Hong Kong,HX780,Hong Kong Airlines,text,3h 0m,True,2026-02-10T19:26:29.252620
2026-02-19,BKK,departure,02:00,DXB Dubai,EK377,Emirates,text,6h 55m,True,2026-02-10T19:26:29.350253
2026-02-19,BKK,departure,02:00,DOH Doha,QR837,Qatar Airways,text,7h 25m,True,2026-02-10T19:26:29.441031
2026-02-19,BKK,departure,02:05,ICN Seoul,KE656,Korean Air,text,5h 35m,True,2026-02-10T19:26:29.529055
2026-02-19,BKK,departure,02:10,CAN Guangzhou,CZ3036,China Southern,text,2h 55m,True,2026-02-10T19:26:29.616609
2026-02-19,BKK,departure,02:15,TPE Taipei,BR206,EVA Air,text,3h 35m,True,2026-02-10T19:26:29.706144
2026-02-19,BKK,departure,02:20,NKG Nanjing,MU2804,China Eastern,text,3h 50m,True,2026-02-10T19:26:29.793143
2026-02-19,BKK,departure,02:20,RGN Yangon,8M391,MAI,text,1h 20m,True,2026-02-10T19:26:29.881318
2026-02-19,BKK,departure,02:25,ICN Seoul,VZ850,Vietjet Thailand,text,5h 30m,True,2026-02-10T19:26:29.971105
