date,airport,direction,time,destination,flight,airline,airline_source,duration,crosscheck_found,airline_match,aircraft,status,reason,page_date_verified,scraped_at,crosschecked_at
2026-03-26,HKT,departure,00:05,PVG Shanghai,FM832,Shanghai Airlines,text,4h 50m,False,False,Boeing 737 Mixed Configuration,NOT_FOUND,flight_not_in_reference,True,2026-02-11T15:32:47.197157,2026-02-13T14:49:39.211811
2026-03-26,HKT,departure,00:30,CKG Chongqing,3U3706,Sichuan Airlines,text,3h 55m,False,False,Airbus A321,NOT_FOUND,flight_not_in_reference,True,2026-02-11T15:32:48.294391,2026-02-13T14:49:56.563374
2026-03-26,HKT,departure,00:50,DOH Doha,QR841,Qatar Airways,text,7h 0m,False,False,Boeing 777-300ER,NOT_FOUND,flight_not_in_reference,True,2026-02-11T15:32:49.228338,2026-02-13T14:50:13.659872
2026-03-26,HKT,departure,03:10,AUH Abu Dhabi,EY415,Etihad,text,6h 35m,False,False,Boeing 787-9,NOT_FOUND,flight_not_in_reference,True,2026-02-11T15:32:50.150529,2026-02-13T14:50:29.909115
2026-03-26,HKT,departure,04:25,KHV Khabarovsk,SU642,Aeroflot,text,7h 5m,False,False,Boeing 777-300ER,NOT_FOUND,flight_not_in_reference,True,2026-02-11T15:32:51.073985,2026-02-13T14:50:44.866106
2026-03-26,HKT,departure,06:30,DMK Bangkok,FD3036,Thai AirAsia,text,1h 20m,False,False,Airbus A320,NOT_FOUND,flight_not_in_reference,True,2026-02-11T15:32:51.997612,2026-02-13T14:51:01.336515
2026-03-26,HKT,departure,06:45,DMK Bangkok,DD539,Nok Air,text,1h 30m,False,False,Boeing 737-800 Passenger,NOT_FOUND,flight_not_in_reference,True,2026-02-11T15:32:52.924946,2026-02-13T14:51:01.336572
2026-03-26,HKT,departure,07:30,DMK Bangkok,FD8163,Thai AirAsia,text,1h 25m,False,False,Airbus A320,NOT_FOUND,flight_not_in_reference,True,2026-02-11T15:32:53.862266,2026-02-13T14:51:01.336575
2026-03-26,HKT,departure,07:30,USM Koh Samui,PG408,Bangkok Airways,text,0h 55m,False,False,ATR 42 / ATR 72,NOT_FOUND,flight_not_in_reference,True,2026-02-11T15:32:54.784821,2026-02-13T14:51:17.148649
2026-03-26,HKT,departure,07:30,BKK Bangkok,VZ317,Vietjet Thailand,text,1h 30m,False,False,Airbus A320,NOT_FOUND,flight_not_in_reference,True,2026-02-11T15:32:55.716332,2026-02-13T14:51:33.215549
2026-03-26,HKT,departure,07:45,BKK Bangkok,PG270,Bangkok Airways,text,1h 35m,False,False,Airbus A319,NOT_FOUND,flight_not_in_reference,True,2026-02-11T15:32:56.670293,2026-02-13T14:51:33.215713
2026-03-26,HKT,departure,07:50,DMK Bangkok,SL771,Thai Lion Air,text,1h 30m,False,False,Boeing 737-800 Passenger,NOT_FOUND,flight_not_in_reference,True,2026-02-11T15:32:57.627711,2026-02-13T14:51:33.215719
2026-03-26,HKT,departure,08:15,KUL Kuala Lumpur,AK819,AirAsia,text,1h 30m,False,False,Airbus A320,NOT_FOUND,flight_not_in_reference,True,2026-02-11T15:32:58.571419,2026-02-13T14:51:50.674538
2026-03-26,HKT,departure,08:15,CNX Chiang Mai,VZ415,Vietjet Thailand,text,2h 5m,False,False,Airbus A320,NOT_FOUND,flight_not_in_reference,True,2026-02-11T15:32:59.508502,2026-02-13T14:52:07.555002
2026-03-26,HKT,departure,08:20,DOH Doha,QR843,Qatar Airways,text,7h 0m,False,False,Boeing 777-300ER,NOT_FOUND,flight_not_in_reference,True,2026-02-11T15:33:00.531309,2026-02-13T14:52:07.555213
2026-03-26,HKT,departure,08:30,DMK Bangkok,DD521,Nok Air,text,1h 30m,False,False,Boeing 737-800 Passenger,NOT_FOUND,flight_not_in_reference,True,2026-02-11T15:33:01.479587,2026-02-13T14:52:07.555226
2026-03-26,HKT,departure,08:40,SIN Singapore,SQ723,Singapore Airlines,text,2h 0m,False,False,Boeing 737MAX 8 Passenger,NOT_FOUND,flight_not_in_reference,True,2026-02-11T15:33:02.419711,2026-02-13T14:52:24.621325
2026-03-26,HKT,departure,08:40,TFU Chengdu,3U3930,Sichuan Airlines,text,3h 45m,False,False,Airbus A320,NOT_FOUND,flight_not_in_reference,True,2026-02-11T15:33:03.584173,2026-02-13T14:52:40.380033
2026-03-26,HKT,departure,08:50,DMK Bangkok,SL751,Thai Lion Air,text,1h 20m,False,False,Boeing 737-900 Passenger,NOT_FOUND,flight_not_in_reference,True,2026-02-11T15:33:04.638964,2026-02-13T14:52:40.380104
2026-03-26,HKT,departure,08:55,DMK Bangkok,FD3038,Thai AirAsia,text,1h 30m,False,False,Airbus A320,NOT_FOUND,flight_not_in_reference,True,2026-02-11T15:33:05.620926,2026-02-13T14:52:40.380107
2026-03-26,HKT,departure,08:55,BKK Bangkok,VZ315,Vietjet Thailand,text,1h 30m,False,False,Airbus A320,NOT_FOUND,flight_not_in_reference,True,2026-02-11T15:33:06.587285,2026-02-13T14:52:40.380109
2026-03-26,HKT,departure,08:55,DOH Doha,QR851,Qatar Airways,text,7h 0m,False,False,Boeing 787-8,NOT_FOUND,flight_not_in_reference,True,2026-02-11T15:33:07.538628,2026-02-13T14:52:40.380111
2026-03-26,HKT,departure,09:00,CNX Chiang Mai,FD3159,Thai AirAsia,text,2h 0m,False,False,Airbus A320,NOT_FOUND,flight_not_in_reference,True,2026-02-11T15:33:08.487103,2026-02-13T14:52:40.380113
2026-03-26,HKT,departure,09:05,SHJ Sharjah,G9688,Air Arabia,text,6h 50m,False,False,Airbus A321,NOT_FOUND,flight_not_in_reference,True,2026-02-11T15:33:09.496297,2026-02-13T14:52:56.840734
2026-03-26,HKT,departure,09:05,AUH Abu Dhabi,EY411,Etihad,text,6h 30m,False,False,Boeing 787-10,NOT_FOUND,flight_not_in_reference,True,2026-02-11T15:33:10.693654,2026-02-13T14:52:56.840790
2026-03-26,HKT,departure,09:10,DEL Delhi,AI2379,Air India,text,4h 45m,False,False,Airbus A320neo,NOT_FOUND,flight_not_in_reference,True,2026-02-11T15:33:11.688609,2026-02-13T14:53:14.671022
2026-03-26,HKT,departure,09:20,DMK Bangkok,FD3035,Thai AirAsia,text,1h 40m,False,False,Airbus A320,NOT_FOUND,flight_not_in_reference,True,2026-02-11T15:33:12.655360,2026-02-13T14:53:14.671098
2026-03-26,HKT,departure,09:20,NQZ Astana,KC164,Air Astana,text,8h 50m,False,False,Airbus A321neo,NOT_FOUND,flight_not_in_reference,True,2026-02-11T15:33:13.633791,2026-02-13T14:53:32.264648
2026-03-26,HKT,departure,09:40,ZRH Zurich,WK51,Edelweiss,text,12h 35m,False,False,Airbus A340-300,NOT_FOUND,flight_not_in_reference,True,2026-02-11T15:33:14.712183,2026-02-13T14:53:48.755144
2026-03-26,HKT,departure,09:45,USM Koh Samui,PG252,Bangkok Airways,text,0h 55m,False,False,ATR 42 / ATR 72,NOT_FOUND,flight_not_in_reference,True,2026-02-11T15:33:15.679849,2026-02-13T14:53:48.755220
2026-03-26,HKT,departure,09:50,BKK Bangkok,TG202,Thai Airways,text,1h 30m,False,False,Airbus A320,NOT_FOUND,flight_not_in_reference,True,2026-02-11T15:33:16.708863,2026-02-13T14:53:48.755223
2026-03-26,HKT,departure,09:55,SVO Moscow,SU279,Aeroflot,text,10h 25m,False,False,Boeing 777-300ER,NOT_FOUND,flight_not_in_reference,True,2026-02-11T15:33:17.950732,2026-02-13T14:54:05.018612
2026-03-26,HKT,departure,10:00,BKK Bangkok,FD4125,Thai AirAsia,text,1h 35m,False,False,Airbus A320,NOT_FOUND,flight_not_in_reference,True,2026-02-11T15:33:18.953479,2026-02-13T14:54:05.018802
2026-03-26,HKT,departure,10:05,SIN Singapore,SQ725,Singapore Airlines,text,2h 5m,False,False,Boeing 737MAX 8 Passenger,NOT_FOUND,flight_not_in_reference,True,2026-02-11T15:33:20.009977,2026-02-13T14:54:05.018809
2026-03-26,HKT,departure,10:15,CNX Chiang Mai,FD3161,Thai AirAsia,text,1h 55m,False,False,Airbus A320,NOT_FOUND,flight_not_in_reference,True,2026-02-11T15:33:21.045967,2026-02-13T14:54:05.018812
2026-03-26,HKT,departure,10:15,BKK Bangkok,PG272,Bangkok Airways,text,1h 35m,False,False,Airbus A320,NOT_FOUND,flight_not_in_reference,True,2026-02-11T15:33:22.005085,2026-02-13T14:54:05.018814
2026-03-26,HKT,departure,10:20,BKK Bangkok,VZ301,Vietjet Thailand,text,1h 30m,False,False,Airbus A320,NOT_FOUND,flight_not_in_reference,True,2026-02-11T15:33:22.967174,2026-02-13T14:54:05.018816
2026-03-26,HKT,departure,10:25,BKK Bangkok,TG204,Thai Airways,text,1h 30m,False,False,Airbus A320,NOT_FOUND,flight_not_in_reference,True,2026-02-11T15:33:23.898970,2026-02-13T14:54:05.018818
2026-03-26,HKT,departure,10:25,MCT Muscat,WY834,Oman Air,text,6h 30m,False,False,Boeing 737-800 Passenger,NOT_FOUND,flight_not_in_reference,True,2026-02-11T15:33:24.847798,2026-02-13T14:54:22.405438
2026-03-26,HKT,departure,10:30,FRA Frankfurt,DE2369,Condor,text,12h 40m,False,False,Airbus A330-900neo,NOT_FOUND,flight_not_in_reference,True,2026-02-11T15:33:25.796057,2026-02-13T14:54:38.246407
2026-03-26,HKT,departure,10:30,KUL Kuala Lumpur,MH787,Malaysia Airlines,text,1h 30m,False,False,Boeing 737MAX 8 Passenger,NOT_FOUND,flight_not_in_reference,True,2026-02-11T15:33:26.740071,2026-02-13T14:54:38.246518
2026-03-26,HKT,departure,10:45,ALA Almaty,KC564,Air Astana,text,7h 25m,False,False,Boeing 767-300 Passenger,NOT_FOUND,flight_not_in_reference,True,2026-02-11T15:33:27.680236,2026-02-13T14:54:54.488796
2026-03-26,HKT,departure,10:45,HEL Helsinki,AY152,Finnair,text,12h 45m,False,False,Airbus A350-900,NOT_FOUND,flight_not_in_reference,True,2026-02-11T15:33:28.626560,2026-02-13T14:55:12.220299
2026-03-26,HKT,departure,10:55,SIN Singapore,TR679,Scoot,text,2h 0m,False,False,Airbus A321neo,NOT_FOUND,flight_not_in_reference,True,2026-02-11T15:33:29.563847,2026-02-13T14:55:12.220374
2026-03-26,HKT,departure,11:00,USM Koh Samui,PG254,Bangkok Airways,text,0h 55m,False,False,ATR 42 / ATR 72,NOT_FOUND,flight_not_in_reference,True,2026-02-11T15:33:30.494829,2026-02-13T14:55:12.220377
2026-03-26,HKT,departure,11:00,HKG Hong Kong,UO725,HK Express,text,3h 30m,False,False,Airbus A321neo,NOT_FOUND,flight_not_in_reference,True,2026-02-11T15:33:31.439254,2026-02-13T14:55:29.599443
2026-03-26,HKT,departure,11:05,BOM Mumbai,6E1072,IndiGo,text,4h 35m,False,False,Airbus A321neo,NOT_FOUND,flight_not_in_reference,True,2026-02-11T15:33:32.373121,2026-02-13T14:55:48.016818
2026-03-26,HKT,departure,11:05,SIN Singapore,SQ727,Singapore Airlines,text,2h 0m,False,False,Boeing 737MAX 8 Passenger,NOT_FOUND,flight_not_in_reference,True,2026-02-11T15:33:33.317549,2026-02-13T14:55:48.016940
2026-03-26,HKT,departure,11:30,DMK Bangkok,DD525,Nok Air,text,1h 30m,False,False,Boeing 737-800 Passenger,NOT_FOUND,flight_not_in_reference,True,2026-02-11T15:33:34.251177,2026-02-13T14:55:48.016952
2026-03-26,HKT,departure,11:30,KUL Kuala Lumpur,AK833,AirAsia,text,1h 35m,False,False,Airbus A320 (sharklets),NOT_FOUND,flight_not_in_reference,True,2026-02-11T15:33:35.191960,2026-02-13T14:55:48.016971
2026-03-26,HKT,departure,11:35,DMK Bangkok,SL759,Thai Lion Air,text,1h 20m,False,False,Boeing 737-800 Passenger,NOT_FOUND,flight_not_in_reference,True,2026-02-11T15:33:36.358856,2026-02-13T14:55:48.016984
2026-03-26,HKT,departure,11:45,DMK Bangkok,FD3030,Thai AirAsia,text,1h 25m,False,False,Airbus A320,NOT_FOUND,flight_not_in_reference,True,2026-02-11T15:33:37.330765,2026-02-13T14:55:48.016987
2026-03-26,HKT,departure,11:50,BKK Bangkok,TG206,Thai Airways,text,1h 30m,False,False,Airbus A320,NOT_FOUND,flight_not_in_reference,True,2026-02-11T15:33:38.300549,2026-02-13T14:55:48.016989
2026-03-26,HKT,departure,11:55,SHJ Sharjah,G9700,Air Arabia,text,6h 50m,False,False,Airbus A320neo,NOT_FOUND,flight_not_in_reference,True,2026-02-11T15:33:39.272353,2026-02-13T14:55:48.016992
2026-03-26,HKT,departure,12:10,SVO Moscow,SU285,Aeroflot,text,10h 20m,False,False,Boeing 777-300ER,NOT_FOUND,flight_not_in_reference,True,2026-02-11T15:33:40.266713,2026-02-13T14:55:48.016994
2026-03-26,HKT,departure,12:20,HKG Hong Kong,CX770,Cathay Pacific,text,3h 45m,False,False,Airbus A321neo,NOT_FOUND,flight_not_in_reference,True,2026-02-11T15:33:41.228393,2026-02-13T14:55:48.016996
2026-03-26,HKT,departure,12:20,DMK Bangkok,SL755,Thai Lion Air,text,1h 20m,False,False,Boeing 737-800 Passenger,NOT_FOUND,flight_not_in_reference,True,2026-02-11T15:33:42.177132,2026-02-13T14:55:48.016998
