date,airport,direction,time,destination,flight,airline,duration,page_date_verified,scraped_at
2026-04-28,ROI,departure,08:25,DMK Bangkok,FD3567,Thai AirAsia,1h 0m,True,2026-02-23T00:21:01.359048
2026-04-28,ROI,departure,10:20,DMK Bangkok,FD3561,Thai AirAsia,1h 5m,True,2026-02-23T00:21:01.450120
2026-04-28,ROI,departure,12:30,DMK Bangkok,FD3565,Thai AirAsia,0h 55m,True,2026-02-23T00:21:01.539094
2026-04-28,ROI,departure,17:20,DMK Bangkok,FD3569,Thai AirAsia,1h 0m,True,2026-02-23T00:21:01.622736
2026-04-28,ROI,departure,19:50,DMK Bangkok,FD3563,Thai AirAsia,1h 0m,True,2026-02-23T00:21:01.720570
2026-04-28,ROI,arrival,07:55,DMK Bangkok,FD3566,Thai AirAsia,1h 5m,True,2026-02-23T00:21:11.646963
2026-04-28,ROI,arrival,09:50,DMK Bangkok,FD3560,Thai AirAsia,1h 15m,True,2026-02-23T00:21:11.753768
2026-04-28,ROI,arrival,12:00,DMK Bangkok,FD3564,Thai AirAsia,1h 5m,True,2026-02-23T00:21:11.843719
2026-04-28,ROI,arrival,16:50,DMK Bangkok,FD3568,Thai AirAsia,1h 10m,True,2026-02-23T00:21:11.936123
2026-04-28,ROI,arrival,19:20,DMK Bangkok,FD3562,Thai AirAsia,1h 5m,True,2026-02-23T00:21:12.030380
