date,airport,direction,time,destination,flight,airline,duration,page_date_verified,scraped_at
2026-04-29,TST,departure,09:50,DMK Bangkok,FD3242,Thai AirAsia,1h 25m,True,2026-02-19T16:38:45.598600
2026-04-29,TST,departure,10:10,DMK Bangkok,SL825,Thai Lion Air,1h 25m,True,2026-02-19T16:38:46.018541
2026-04-29,TST,departure,13:20,DMK Bangkok,DD593,Nok Air,1h 25m,True,2026-02-19T16:38:46.281404
2026-04-29,TST,departure,16:00,DMK Bangkok,FD3244,Thai AirAsia,1h 25m,True,2026-02-19T16:38:46.481507
2026-04-29,TST,departure,17:35,DMK Bangkok,SL827,Thai Lion Air,1h 25m,True,2026-02-19T16:38:46.586146
2026-04-29,TST,departure,18:35,DMK Bangkok,FD3246,Thai AirAsia,1h 25m,True,2026-02-19T16:38:46.775489
2026-04-29,TST,arrival,09:20,DMK Bangkok,FD3241,Thai AirAsia,1h 35m,True,2026-02-19T16:38:55.779191
2026-04-29,TST,arrival,09:30,DMK Bangkok,SL824,Thai Lion Air,1h 25m,True,2026-02-19T16:38:56.045876
2026-04-29,TST,arrival,12:50,DMK Bangkok,DD592,Nok Air,1h 30m,True,2026-02-19T16:38:56.208892
2026-04-29,TST,arrival,15:30,DMK Bangkok,FD3243,Thai AirAsia,1h 30m,True,2026-02-19T16:38:56.310254
2026-04-29,TST,arrival,16:55,DMK Bangkok,SL826,Thai Lion Air,1h 25m,True,2026-02-19T16:38:56.440493
2026-04-29,TST,arrival,18:05,DMK Bangkok,FD3245,Thai AirAsia,1h 35m,True,2026-02-19T16:38:57.012081
