date,airport,direction,time,destination,flight,airline,duration,page_date_verified,scraped_at
2026-08-02,UTP,departure,13:00,HKT Phuket,PG281,Bangkok Airways,1h 40m,True,2026-02-16T10:48:05.701422
2026-08-02,UTP,departure,13:15,UTH Udon Thani,SL589,Thai Lion Air,1h 20m,True,2026-02-16T10:48:05.803102
2026-08-02,UTP,departure,15:15,CNX Chiang Mai,SL582,Thai Lion Air,1h 20m,True,2026-02-16T10:48:05.897236
2026-08-02,UTP,departure,16:00,HKT Phuket,PG289,Bangkok Airways,1h 40m,True,2026-02-16T10:48:05.994029
2026-08-02,UTP,departure,17:20,USM Koh Samui,PG294,Bangkok Airways,1h 5m,True,2026-02-16T10:48:06.093824
2026-08-02,UTP,arrival,12:15,UTH Udon Thani,SL588,Thai Lion Air,1h 20m,True,2026-02-16T10:48:15.963429
2026-08-02,UTP,arrival,12:20,USM Koh Samui,PG293,Bangkok Airways,1h 10m,True,2026-02-16T10:48:16.052801
2026-08-02,UTP,arrival,14:35,CNX Chiang Mai,SL581,Thai Lion Air,1h 25m,True,2026-02-16T10:48:16.142712
2026-08-02,UTP,arrival,15:25,HKT Phuket,PG288,Bangkok Airways,1h 40m,True,2026-02-16T10:48:16.232756
2026-08-02,UTP,arrival,16:50,HKT Phuket,PG282,Bangkok Airways,1h 40m,True,2026-02-16T10:48:16.328056
