date,airport,direction,time,destination,flight,airline,duration,crosscheck_found,airline_match,aircraft,status,reason,scraped_at,crosschecked_at
2026-02-10,HKT,departure,00:05,PVG Shanghai,FM832,Shanghai Airlines,4h 50m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:01.426781,2026-02-09T20:22:50.094378
2026-02-10,HKT,departure,00:10,NKG Nanjing,MU2814,China Eastern,5h 0m,True,True,Airbus A320neo,OK,route_and_airline_match,2026-02-09T13:37:01.494114,2026-02-09T20:23:11.054359
2026-02-10,HKT,departure,00:25,AUH Abu Dhabi,EY415,Etihad,7h 5m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:01.557637,2026-02-09T20:23:29.099304
2026-02-10,HKT,departure,06:30,DMK Bangkok,FD3036,Thai AirAsia,1h 20m,True,True,Airbus A320,OK,route_and_airline_match,2026-02-09T13:37:01.619986,2026-02-09T20:23:49.892198
2026-02-10,HKT,departure,06:45,DMK Bangkok,DD539,Nok Air,1h 30m,True,True,Boeing 737-800 Passenger,OK,route_and_airline_match,2026-02-09T13:37:01.688773,2026-02-09T20:23:53.652011
2026-02-10,HKT,departure,07:30,DMK Bangkok,FD8163,Thai AirAsia,1h 25m,True,True,Airbus A320,OK,route_and_airline_match,2026-02-09T13:37:01.747138,2026-02-09T20:23:57.690482
2026-02-10,HKT,departure,07:30,USM Koh Samui,PG408,Bangkok Airways,0h 55m,True,True,ATR 42 / ATR 72,OK,route_and_airline_match,2026-02-09T13:37:01.806871,2026-02-09T20:24:17.231205
2026-02-10,HKT,departure,07:30,BKK Bangkok,VZ317,Vietjet Thailand,1h 30m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:01.867257,2026-02-09T20:24:35.574425
2026-02-10,HKT,departure,07:45,BKK Bangkok,PG270,Bangkok Airways,1h 35m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:01.922742,2026-02-09T20:24:35.574435
2026-02-10,HKT,departure,07:50,DMK Bangkok,SL771,Thai Lion Air,1h 30m,True,True,,OK,route_and_airline_match,2026-02-09T13:37:01.979363,2026-02-09T20:24:36.056515
2026-02-10,HKT,departure,08:15,KUL Kuala Lumpur,AK819,AirAsia,1h 30m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:02.034291,2026-02-09T20:24:52.857182
2026-02-10,HKT,departure,08:15,CNX Chiang Mai,VZ415,Vietjet Thailand,2h 5m,True,True,Airbus A320,OK,route_and_airline_match,2026-02-09T13:37:02.091558,2026-02-09T20:25:13.097812
2026-02-10,HKT,departure,08:20,DOH Doha,QR843,Qatar Airways,7h 0m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:02.149256,2026-02-09T20:25:29.674865
2026-02-10,HKT,departure,08:25,DOH Doha,QR851,Qatar Airways,7h 0m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:02.204219,2026-02-09T20:25:29.674873
2026-02-10,HKT,departure,08:30,DMK Bangkok,DD521,Nok Air,1h 30m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:02.259499,2026-02-09T20:25:29.674899
2026-02-10,HKT,departure,08:35,TFU Chengdu,3U3930,Sichuan Airlines,3h 50m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:02.318990,2026-02-09T20:25:47.021577
2026-02-10,HKT,departure,08:40,SIN Singapore,SQ723,Singapore Airlines,2h 0m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:02.376234,2026-02-09T20:26:05.824690
2026-02-10,HKT,departure,08:40,DMK Bangkok,FD3038,Thai AirAsia,1h 45m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:02.434934,2026-02-09T20:26:05.824710
2026-02-10,HKT,departure,08:50,DMK Bangkok,SL751,Thai Lion Air,1h 20m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:02.492227,2026-02-09T20:26:05.824717
2026-02-10,HKT,departure,08:55,IST Istanbul,TK167,Turkish Airlines,10h 40m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:02.550159,2026-02-09T20:26:22.224153
2026-02-10,HKT,departure,08:55,BKK Bangkok,VZ315,Vietjet Thailand,1h 30m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:02.609933,2026-02-09T20:26:22.224194
2026-02-10,HKT,departure,09:00,CNX Chiang Mai,FD3159,Thai AirAsia,2h 0m,True,True,,OK,route_and_airline_match,2026-02-09T13:37:02.666779,2026-02-09T20:26:22.715492
2026-02-10,HKT,departure,09:05,AUH Abu Dhabi,EY411,Etihad,6h 30m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:02.724467,2026-02-09T20:26:22.715518
2026-02-10,HKT,departure,09:05,SHJ Sharjah,G9688,Air Arabia,6h 50m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:02.781690,2026-02-09T20:26:39.122094
2026-02-10,HKT,departure,09:10,DEL Delhi,AI2379,Air India,4h 45m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:02.840502,2026-02-09T20:26:56.452140
2026-02-10,HKT,departure,09:20,DMK Bangkok,FD3035,Thai AirAsia,1h 40m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:02.899063,2026-02-09T20:26:56.452200
2026-02-10,HKT,departure,09:20,NQZ Astana,KC164,Air Astana,8h 50m,True,True,Airbus A321neo,OK,route_and_airline_match,2026-02-09T13:37:02.956513,2026-02-09T20:27:16.407118
2026-02-10,HKT,departure,09:30,VVO Vladivostok,SU639,Aeroflot,6h 40m,True,True,Boeing 777-300ER,OK,route_and_airline_match,2026-02-09T13:37:03.012555,2026-02-09T20:27:38.102859
2026-02-10,HKT,departure,09:45,USM Koh Samui,PG252,Bangkok Airways,0h 55m,True,True,,OK,route_and_airline_match,2026-02-09T13:37:03.075617,2026-02-09T20:27:38.386663
2026-02-10,HKT,departure,09:50,BKK Bangkok,TG202,Thai Airways,1h 30m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:03.135139,2026-02-09T20:27:38.386694
2026-02-10,HKT,departure,09:50,BRQ Brno,NO127,Neos,12h 5m,True,True,Boeing 787,OK,route_and_airline_match,2026-02-09T13:37:03.194218,2026-02-09T20:27:58.410840
